tx_id,scenario_label,is_suspicious,primary_category,expected_triggers_fired,expected_confidence_band,ground_truth_notes
TX20260601001377,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260502000558,CLEAN,NO,C5,,N/A,Prior FY outward remittance (within ceiling at the time).
TX20260601001174,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260604001633,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001076,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000987,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001244,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001021,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260512000541,CLEAN,NO,C5,,N/A,Prior FY outward remittance (within ceiling at the time).
TX20260604001104,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001924,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001050,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601000035,STRUCTURING_SMURFING,YES,C1,C1_structuring,HIGH,"Split 2/4 to same beneficiary; each <2.5L, aggregate >10L in window."
TX20260604001436,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000268,WATCHLIST_HIT_ENTITY,YES,C2,C2_watchlist_hit,HIGH,Receiver entity matches watchlist WL0046 on name + CIN/PAN.
TX20260602001206,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001713,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000112,VELOCITY_SPIKE,YES,C1,C1_velocity,MEDIUM,Velocity burst 18/20 far above account's monthly baseline.
TX20260603000208,VELOCITY_SPIKE,YES,C1,C1_velocity,MEDIUM,Velocity burst 10/18 far above account's monthly baseline.
TX20260602000702,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001334,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000074,VELOCITY_SPIKE,YES,C1,C1_velocity,MEDIUM,Velocity burst 2/22 far above account's monthly baseline.
TX20260603001319,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000944,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601000717,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001496,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001784,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001142,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000913,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000891,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000811,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260604001264,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000223,CREDIT_LINE_PROBING,YES,C1,C1_creditline,MEDIUM,Repeated small drawdowns summing toward credit limit within 24h.
TX20260604000002,STRUCTURING_SMURFING,YES,C1,C1_structuring,HIGH,"Split 2/6 to same beneficiary; each <2.5L, aggregate >10L in window."
TX20260601001314,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260604000757,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000064,STRUCTURING_SMURFING,YES,C1,C1_structuring,HIGH,"Split 1/4 to same beneficiary; each <2.5L, aggregate >10L in window."
TX20260603000742,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000943,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260604000949,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001291,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001075,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260502000244,RECURRING_SALARY_LOOK_LIKE_STRUCTURING,NO,C1,,LOW,Monthly recurring salary-like cadence to a fixed payee; not windowed splitting.
TX20260603000980,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000705,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001692,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000976,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000860,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000484,DORMANT_REACTIVATION,YES,C4,C4_dormancy,HIGH,"Reactivation burst 1 on account dormant ~309d, age <18mo."
TX20260512000559,CLEAN,NO,C5,,N/A,Prior FY outward remittance (within ceiling at the time).
TX20260603000601,CROSS_BORDER_SPLIT,YES,C5,C5_split_beneficiary,HIGH,Split 3 to same overseas beneficiary just under 10L within a week.
TX20260602001148,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001975,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000280,FUZZY_TYPO_CONFLICT,NO,C2,C2_fuzzy_reject,LOW,Typo'd variant of WL0037 but PAN conflicts; should not auto-hit.
TX20260601000693,vacation_foreign_legit,NO,C6,,N/A,Domestic-static holder genuinely abroad on holiday; rules-only likely false-positives.
TX20260604000040,STRUCTURING_SMURFING,YES,C1,C1_structuring,HIGH,"Split 3/5 to same beneficiary; each <2.5L, aggregate >10L in window."
TX20260603000185,VELOCITY_SPIKE,YES,C1,C1_velocity,MEDIUM,Velocity burst 8/21 far above account's monthly baseline.
TX20260603001307,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000291,classic_mule_fanout,YES,C3,C3_fanin,HIGH,Fan-in credit 4/6 to account.
TX20260603001471,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260605000067,STRUCTURING_SMURFING,YES,C1,C1_structuring,HIGH,"Split 4/4 to same beneficiary; each <2.5L, aggregate >10L in window."
TX20260604001046,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001929,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001000,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000321,classic_mule_fanout,YES,C3,C3_fanin,HIGH,Fan-in credit 6/6 to account.
TX20260603001374,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260604000069,STRUCTURING_SMURFING,YES,C1,C1_structuring,HIGH,"Split 2/5 to same beneficiary; each <2.5L, aggregate >10L in window."
TX20260328000596,CLEAN,NO,C5,,N/A,Prior modest gift to NRI relative (baseline).
TX20260602000882,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001483,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000521,NEW_ACCOUNT_LOW_VALUE_LEGIT,NO,C4,,LOW,New but fully-KYC'd account making small routine payments.
TX20260604001582,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260604001526,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001677,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000569,FEMA_LRS_BREACH,YES,C5,C5_lrs_ceiling,HIGH,Cumulative YTD outward remittance crosses >90% of USD 250k LRS ceiling.
TX20260601000331,subtle_mule_4credits,YES,C3,C3_fanin,MEDIUM,Fan-in credit 2/4 to account.
TX20260603000680,frequent_traveller_newcity,NO,C6,,N/A,Traveller profile in a new domestic city on own device.
TX20260502000531,CLEAN,NO,C5,,N/A,Prior FY outward remittance (within ceiling at the time).
TX20260602001646,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601000991,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000858,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001143,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000922,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000854,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000134,VELOCITY_SPIKE,YES,C1,C1_velocity,MEDIUM,Velocity burst 3/18 far above account's monthly baseline.
TX20260601001820,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001178,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601000986,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000789,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001107,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001887,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001211,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601000924,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001114,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260422000623,CLEAN,NO,C5,,N/A,Prior modest gift to NRI relative (baseline).
TX20260602001932,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001536,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001620,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000428,small_business_fanout_legit,NO,C3,,N/A,Fan-in credit 3/6 to account.
TX20260601001011,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001894,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260604001540,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001160,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601000906,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000960,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001367,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001925,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000388,merchant_settlement_legit,NO,C3,,N/A,Fan-in credit 7/7 to merchant.
TX20260303000595,CLEAN,NO,C5,,N/A,Prior modest gift to NRI relative (baseline).
TX20260604000964,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001300,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001772,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000411,merchant_settlement_legit,NO,C3,,N/A,Fan-in credit 6/7 to merchant.
TX20260603001318,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001230,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001376,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001614,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000978,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601000265,WATCHLIST_HIT,YES,C2,C2_watchlist_hit,HIGH,Receiver matches watchlist WL0100 on name + identifier.
TX20260603001353,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000104,VELOCITY_SPIKE,YES,C1,C1_velocity,MEDIUM,Velocity burst 10/20 far above account's monthly baseline.
TX20260603000452,DORMANT_REACTIVATION,YES,C4,C4_dormancy,HIGH,"Reactivation burst 5 on account dormant ~180d, age <18mo."
TX20260601001756,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601000998,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001337,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001557,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001653,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601000946,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000175,VELOCITY_SPIKE,YES,C1,C1_velocity,MEDIUM,Velocity burst 12/14 far above account's monthly baseline.
TX20260603000450,DORMANT_REACTIVATION,YES,C4,C4_dormancy,HIGH,"Reactivation burst 3 on account dormant ~180d, age <18mo."
TX20260603000915,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001455,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000007,STRUCTURING_SMURFING,YES,C1,C1_structuring,HIGH,"Split 1/6 to same beneficiary; each <2.5L, aggregate >10L in window."
TX20260601001970,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000642,fatf_jurisdiction_fraud,YES,C6,C6_jurisdiction,MEDIUM,Sudden transfer originating from an elevated-risk jurisdiction.
TX20260603001911,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001519,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601000897,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001415,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001261,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001486,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001399,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000093,VELOCITY_SPIKE,YES,C1,C1_velocity,MEDIUM,Velocity burst 21/22 far above account's monthly baseline.
TX20260602001202,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260422000585,CLEAN,NO,C5,,N/A,Prior modest gift to NRI relative (baseline).
TX20260601001165,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001180,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001748,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000488,DORMANT_REACTIVATION,YES,C4,C4_dormancy,HIGH,"Reactivation burst 5 on account dormant ~309d, age <18mo."
TX20260602001349,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001909,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001092,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601000616,GIFT_NRI_BOUNDARY_LEGIT,NO,C5,,LOW,Gift ratio ~4.8x sits just below the 5x trigger; preserved boundary FP-control case.
TX20260604001610,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001965,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000893,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601000357,layering_roundtrip_2hop,YES,C3,C3_roundtrip,HIGH,Layering hop 2/2; preservation~0.92.
TX20260604001544,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001750,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001877,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000207,VELOCITY_SPIKE,YES,C1,C1_velocity,MEDIUM,Velocity burst 9/18 far above account's monthly baseline.
TX20260604001958,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000365,layering_roundtrip_4hop,YES,C3,C3_roundtrip,MEDIUM,Layering hop 2/4; preservation~0.90.
TX20260604000804,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001383,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001629,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000263,WATCHLIST_HIT,YES,C2,C2_watchlist_hit,HIGH,Receiver matches watchlist WL0024 on name + identifier.
TX20260601001280,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001560,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260604000863,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000158,VELOCITY_SPIKE,YES,C1,C1_velocity,MEDIUM,Velocity burst 9/14 far above account's monthly baseline.
TX20260604000859,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001336,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001615,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001978,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000733,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000155,VELOCITY_SPIKE,YES,C1,C1_velocity,MEDIUM,Velocity burst 6/14 far above account's monthly baseline.
TX20260604001606,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001212,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001945,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000639,fatf_jurisdiction_fraud,YES,C6,C6_jurisdiction,MEDIUM,Sudden transfer originating from an elevated-risk jurisdiction.
TX20260602000664,newloc_newdevice_fraud,YES,C6,C6_newloc_newdev,MEDIUM,Simultaneously new geo cluster and new device.
TX20260603001586,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000655,newloc_newdevice_fraud,YES,C6,C6_newloc_newdev,MEDIUM,Simultaneously new geo cluster and new device.
TX20260601001714,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601000419,family_repayment_roundtrip,NO,C3,,N/A,Family/dissipated transfer hop 2/2; preservation~0.72.
TX20260422000597,CLEAN,NO,C5,,N/A,Prior modest gift to NRI relative (baseline).
TX20260602000084,VELOCITY_SPIKE,YES,C1,C1_velocity,MEDIUM,Velocity burst 12/22 far above account's monthly baseline.
TX20260602001049,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001125,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000385,merchant_settlement_legit,NO,C3,,N/A,Fan-in credit 4/7 to merchant.
TX20260602000264,WATCHLIST_HIT,YES,C2,C2_watchlist_hit,HIGH,Receiver matches watchlist WL0067 on name + identifier.
TX20260602001267,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001490,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000461,DORMANT_REACTIVATION,YES,C4,C4_dormancy,HIGH,"Reactivation burst 4 on account dormant ~334d, age <18mo."
TX20260603000167,VELOCITY_SPIKE,YES,C1,C1_velocity,MEDIUM,Velocity burst 4/14 far above account's monthly baseline.
TX20260603001132,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001776,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000953,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001360,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260604000781,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000306,classic_mule_fanout,YES,C3,C3_fanin,HIGH,Fan-in credit 5/6 to account.
TX20260602000732,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001068,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000982,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001173,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260604001417,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000887,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001554,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001247,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000391,merchant_settlement_legit,NO,C3,,N/A,Fan-in credit 2/7 to merchant.
TX20260601001121,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000763,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260604001971,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000716,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001476,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001096,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001059,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001538,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000302,classic_mule_fanout,YES,C3,C3_fanin,HIGH,Fan-in credit 1/6 to account.
TX20260603001604,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260604001721,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001386,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000808,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260604000816,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000869,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000636,impossible_travel_fraud,YES,C6,C6_impossible_travel,HIGH,Transaction location implies impossible travel vs last known session; new device.
TX20260602000075,VELOCITY_SPIKE,YES,C1,C1_velocity,MEDIUM,Velocity burst 3/22 far above account's monthly baseline.
TX20260602001489,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001650,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001282,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000160,VELOCITY_SPIKE,YES,C1,C1_velocity,MEDIUM,Velocity burst 11/14 far above account's monthly baseline.
TX20260602001155,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000813,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001371,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000984,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601000523,NEW_ACCOUNT_LOW_VALUE_LEGIT,NO,C4,,LOW,New but fully-KYC'd account making small routine payments.
TX20260602000697,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000681,oddhour_known_user,NO,C6,,N/A,"Night-active user, own device and city, normal amount."
TX20260602001063,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001366,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000630,impossible_travel_fraud,YES,C6,C6_impossible_travel,HIGH,Transaction location implies impossible travel vs last known session; new device.
TX20260603001326,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260604001468,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000401,merchant_settlement_legit,NO,C3,,N/A,Fan-in credit 4/7 to merchant.
TX20260603000898,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001718,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001328,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601000901,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000101,VELOCITY_SPIKE,YES,C1,C1_velocity,MEDIUM,Velocity burst 7/20 far above account's monthly baseline.
TX20260604001221,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001711,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260604001589,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260604001815,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001057,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001064,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001986,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001922,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000759,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
